age,amount,duration,checking,history,purpose,savings,employed,installp,marital,coapp,resident,property,other,housing,existcr,job,depends,telephon,foreign,good_bad
36,1913,18,2,2,9,4,2,3,4,1,3,1,1,2,1,3,1,2,1,good
27,4020,24,1,2,2,1,3,2,3,1,2,3,2,2,1,3,1,1,1,good
30,5866,18,2,2,0,2,3,2,3,1,2,3,3,2,2,3,1,2,1,good
57,1264,12,4,4,9,5,5,4,3,1,4,4,3,1,1,2,1,1,1,good
33,1474,12,3,2,2,1,2,4,2,1,1,2,1,2,1,4,1,2,1,good
25,4746,45,2,4,3,1,2,4,3,1,2,2,3,2,2,2,1,1,1,bad
31,6110,48,4,4,6,1,3,1,3,1,3,4,1,3,1,3,1,2,1,good
37,2100,18,3,2,3,1,3,4,3,2,2,1,2,2,1,3,1,1,1,bad
37,1225,10,3,2,4,1,3,2,3,1,2,3,3,2,1,3,1,2,1,good
24,458,9,2,2,3,1,3,4,3,1,3,1,3,2,1,3,1,1,1,good
30,2333,30,4,2,3,3,5,4,3,1,2,3,1,2,1,4,1,1,1,good
26,1158,12,2,2,3,3,3,3,1,1,1,3,3,2,1,3,1,2,1,good
44,6204,18,2,3,5,1,3,2,3,1,4,1,3,2,1,2,2,2,1,good
24,6187,30,1,4,1,2,4,1,4,1,4,3,3,1,2,3,1,1,1,good
58,6143,48,1,4,1,1,5,4,2,1,4,4,2,3,2,2,1,1,1,bad
35,1393,11,4,4,0,1,2,4,2,1,4,3,3,2,2,4,1,1,1,good
39,2299,36,4,2,3,3,5,4,3,1,4,3,3,2,1,3,1,1,1,good
23,1352,6,1,2,1,3,1,1,2,1,2,2,3,1,1,1,1,2,1,good
39,7228,11,4,4,0,1,3,1,3,1,4,2,3,2,2,2,1,1,1,good
28,2073,12,4,2,3,2,3,4,2,2,2,1,3,2,1,3,1,1,1,good
29,2333,24,2,3,2,5,2,4,3,1,2,2,1,2,1,2,1,1,1,good
30,5965,27,2,3,1,1,5,1,3,1,2,3,3,2,2,4,1,2,1,good
25,1262,12,4,2,3,1,3,3,3,1,2,3,3,2,1,3,1,1,1,good
31,3378,18,4,2,1,5,3,2,3,1,1,2,3,2,1,3,1,2,1,good
57,2225,36,2,3,0,1,5,4,3,1,4,4,1,3,2,3,1,2,1,bad
26,783,6,4,1,0,5,3,1,3,3,2,1,2,2,1,2,2,1,1,good
52,6468,12,2,2,3,5,1,2,3,1,1,4,3,2,1,4,1,2,1,bad
31,9566,36,4,4,3,1,3,2,2,1,2,3,2,2,2,3,1,1,1,good
23,1961,18,3,2,0,1,5,3,2,1,2,3,3,2,1,4,1,1,1,good
23,6229,36,1,4,2,1,2,4,2,2,4,4,3,1,2,2,1,2,1,bad
27,1391,9,2,2,9,1,3,2,4,1,1,1,1,2,1,3,1,2,1,good
50,1537,15,2,4,3,5,5,4,3,3,4,1,3,2,2,3,1,2,1,good
61,1953,36,2,0,9,1,5,4,3,1,4,4,3,3,1,4,1,2,1,bad
25,14421,48,2,0,9,1,3,2,3,1,2,3,3,2,1,3,1,2,1,bad
26,3181,24,4,2,3,1,2,4,2,1,4,2,3,2,1,3,1,2,1,good
48,5190,27,4,2,5,5,5,4,3,1,4,2,3,2,4,3,2,2,1,good
29,2171,12,4,2,3,1,2,2,2,1,2,3,1,2,1,3,1,1,1,good
22,1007,12,2,2,0,4,3,4,4,1,1,1,3,2,1,3,1,1,1,good
37,1819,36,4,2,6,1,3,4,3,1,4,4,2,3,1,3,1,2,1,bad
25,2394,36,4,2,3,5,3,4,2,1,4,3,3,2,1,3,1,1,1,good
30,8133,36,4,2,1,1,3,1,2,1,2,2,1,2,1,3,1,1,1,good
46,730,7,4,4,3,5,5,4,3,1,2,2,3,1,2,2,1,2,1,good
51,1164,8,1,4,X,1,5,3,3,1,4,4,1,3,2,4,2,2,1,good
41,5954,42,2,4,9,1,4,2,2,1,1,1,1,2,2,2,1,1,1,good
40,1977,36,1,2,6,5,5,4,3,1,4,4,3,2,1,4,1,2,1,bad
66,1526,12,1,4,1,1,5,4,3,1,4,4,3,3,2,4,1,1,1,good
34,3965,42,1,2,3,1,2,4,3,1,3,3,3,2,1,3,1,1,1,bad
51,4771,11,2,3,3,1,4,2,3,1,4,2,3,2,1,3,1,1,1,good
39,9436,54,4,0,1,5,3,2,3,1,2,2,3,2,1,2,2,1,1,good
22,3832,30,2,2,2,1,2,2,4,1,1,2,3,2,1,3,1,1,1,good
44,5943,24,4,2,3,5,2,1,2,1,1,3,3,2,2,3,1,2,1,bad
47,1213,15,4,2,3,3,5,4,3,1,3,2,2,2,1,3,1,2,1,good
24,1568,18,4,2,9,2,3,3,2,1,4,2,3,1,1,2,1,1,1,good
58,1755,24,1,2,X,1,5,4,2,3,4,1,3,2,1,2,1,2,1,good
52,2315,10,1,2,3,1,5,3,3,1,4,1,3,2,1,2,1,1,1,good
29,1412,12,4,4,9,1,3,4,2,3,2,1,3,2,2,4,1,2,1,good
27,1295,18,2,4,2,1,2,4,2,1,1,2,3,2,2,3,1,1,1,good
47,12612,36,2,2,6,2,3,1,3,1,4,4,3,3,1,3,2,2,1,bad
30,2249,18,1,2,0,2,4,4,3,1,3,3,3,2,1,4,2,2,1,good
28,1108,12,1,0,5,1,4,4,3,1,3,1,3,2,2,3,1,1,1,bad
56,618,12,4,4,3,1,5,4,3,1,4,1,3,2,1,3,1,1,1,good
54,1409,12,1,4,1,1,5,4,3,1,3,1,3,2,1,3,1,1,1,good
33,797,12,4,4,3,5,5,4,2,1,3,2,1,2,1,2,2,1,1,bad
20,3617,24,3,4,2,5,5,4,3,2,4,4,3,1,2,3,1,1,1,good
54,1318,12,2,2,0,4,5,4,3,1,4,1,3,2,1,3,1,2,1,good
58,15945,54,2,0,9,1,2,3,3,1,4,4,3,1,1,3,1,2,1,bad
61,2012,12,4,4,6,5,4,4,2,1,2,3,3,2,1,3,1,1,1,good
34,2622,18,2,2,9,2,3,4,3,1,4,3,3,2,1,3,1,1,1,good
36,2337,36,2,4,3,1,5,4,3,1,4,1,3,2,1,3,1,1,1,good
36,7057,20,2,3,1,5,4,3,3,1,4,2,1,1,2,4,2,2,1,good
41,1469,24,4,2,0,2,5,4,4,1,4,1,3,1,1,2,1,1,1,good
24,2323,36,2,2,3,1,4,4,3,1,4,3,3,1,1,3,1,1,1,good
24,932,6,4,3,3,1,3,3,2,1,2,1,3,2,1,3,1,1,1,good
35,1919,9,2,4,2,1,4,4,3,1,3,3,3,1,1,3,1,2,1,good
26,2445,12,4,2,1,5,2,2,4,1,4,3,3,1,1,3,1,2,1,good
39,11938,24,2,4,X,1,3,2,3,2,3,3,3,2,2,4,2,2,1,bad
39,6458,18,4,1,0,1,5,2,3,1,4,4,1,2,2,4,2,2,1,bad
32,6078,12,2,2,0,1,4,2,3,1,2,3,3,2,1,3,1,1,1,good
30,7721,24,1,2,2,5,2,1,2,1,2,2,3,2,1,3,1,2,2,good
35,1410,14,2,2,9,3,5,1,4,1,2,1,3,2,1,3,1,2,1,good
31,1449,6,2,3,9,2,5,1,1,1,2,3,1,2,2,3,2,1,1,good
23,392,15,3,2,6,1,2,4,2,1,4,2,3,1,1,3,1,2,1,good
28,6260,18,2,2,0,1,4,3,3,1,3,1,3,1,1,2,1,1,1,good
25,7855,36,4,4,0,1,3,4,2,1,2,1,2,2,2,3,1,2,1,bad
35,1680,12,1,2,3,3,5,3,4,1,1,1,3,2,1,3,1,1,1,good
47,3578,48,4,4,3,5,5,4,3,1,1,1,3,2,1,3,1,2,1,good
30,7174,42,1,2,3,5,4,4,2,1,3,3,3,2,1,4,1,2,1,bad
27,2132,10,1,4,2,5,2,2,2,2,3,1,3,1,2,3,1,1,2,good
23,4281,33,1,4,2,3,3,1,2,1,4,3,3,2,2,3,1,1,1,bad
36,2366,12,2,4,0,3,4,3,1,1,3,3,3,2,1,4,1,2,1,good
25,1835,21,1,2,3,1,3,3,2,1,2,1,3,2,2,3,1,2,1,bad
41,3868,24,4,4,1,1,5,4,2,1,2,3,3,1,2,4,1,2,1,good
24,1768,12,4,2,2,1,3,3,3,1,2,1,3,1,1,2,1,1,1,good
63,781,10,3,4,0,1,5,4,3,1,4,4,3,3,2,3,1,2,1,good
27,1924,18,2,2,2,5,2,4,2,1,3,1,3,1,1,3,1,1,1,bad
30,2121,12,1,4,0,1,3,4,3,1,2,2,3,2,2,3,1,1,1,good
40,701,12,1,2,3,1,3,4,4,1,2,1,3,2,1,2,1,1,1,good
30,639,12,2,2,5,1,3,4,3,1,2,3,3,2,1,3,1,1,1,bad
34,1860,12,2,4,1,1,1,4,3,1,2,3,3,2,2,4,1,2,1,good
29,3499,12,1,4,0,1,3,3,2,2,2,1,3,2,2,3,1,1,1,bad
24,8487,48,2,2,0,5,4,1,2,1,2,3,3,2,1,3,1,1,1,good
29,6887,36,1,3,6,1,3,4,3,1,3,2,2,2,1,3,1,2,1,bad
27,2708,15,4,2,2,1,2,2,3,1,3,2,1,2,2,2,1,1,1,good
47,1984,18,4,2,2,1,3,4,3,1,4,4,1,3,2,3,1,1,1,good
21,10144,60,4,2,3,2,4,2,2,1,4,1,3,2,1,3,1,2,1,good
38,1240,12,4,4,3,5,5,4,2,1,2,1,3,2,2,3,1,2,1,good
27,8613,27,4,3,1,4,3,2,3,1,2,3,3,2,2,3,1,1,1,good
66,766,12,2,2,3,3,3,4,3,1,3,1,3,2,1,2,1,1,1,bad
35,2728,15,2,4,3,5,4,4,3,3,2,1,1,2,3,3,1,2,1,good
44,1881,12,3,2,3,1,3,2,2,1,2,3,3,1,1,2,1,2,1,good
27,709,6,3,2,0,4,2,2,4,1,2,1,3,2,1,1,1,1,2,good
30,4795,36,2,2,3,1,2,4,2,1,1,4,3,2,1,4,1,2,1,good
27,3416,27,1,2,3,1,3,3,3,1,2,3,3,2,1,4,1,1,1,good
22,2462,18,1,2,2,1,3,2,3,1,2,3,3,2,1,3,1,1,1,bad
23,2288,21,4,4,2,1,2,4,2,1,4,2,3,2,1,3,1,2,1,good
30,3566,48,2,1,9,2,4,4,3,1,2,3,3,2,1,3,1,1,1,good
39,860,6,1,4,0,1,5,1,2,1,4,4,3,2,2,3,1,2,1,good
51,682,12,4,4,0,2,4,4,2,1,3,3,3,2,2,3,1,2,1,good
28,5371,36,1,4,2,1,3,3,3,3,2,2,3,2,2,3,1,1,1,good
46,1582,18,4,4,3,4,5,4,3,1,4,3,3,2,2,3,1,1,1,good
42,1346,6,4,2,3,2,5,2,3,1,4,4,1,3,1,3,2,2,1,good
38,1924,10,4,2,3,1,3,1,3,1,4,2,3,2,1,3,1,2,2,good
24,5848,36,3,2,3,1,3,4,3,1,1,3,3,2,1,3,1,1,1,good
29,7758,24,2,4,1,4,5,2,2,1,4,4,3,1,1,3,1,1,1,good
36,6967,24,2,3,9,2,4,4,3,1,4,3,3,1,1,4,1,2,1,good
20,1282,12,1,2,2,1,3,2,2,1,4,3,3,1,1,3,1,1,1,bad
48,1288,9,1,4,5,2,5,3,3,3,4,1,3,2,2,3,2,1,2,good
45,339,12,1,1,8,1,5,4,4,1,1,3,1,2,1,2,1,1,1,good
38,3512,24,2,2,0,2,4,2,3,1,3,3,1,2,2,3,1,2,1,good
34,1898,6,4,4,3,5,3,1,3,1,2,1,3,2,2,2,2,1,1,good
36,2872,24,4,4,3,2,5,3,3,1,4,1,3,2,1,3,2,2,1,good
30,1055,18,4,4,0,1,2,4,2,1,1,2,3,2,2,3,1,1,1,good
36,1262,15,4,2,4,3,4,4,3,1,3,2,3,2,2,3,1,2,1,good
70,7308,10,2,2,0,1,1,2,3,1,4,4,1,3,1,4,1,2,1,good
36,909,36,4,2,0,3,5,4,3,1,4,2,3,2,1,3,1,1,1,good
32,2978,6,4,2,2,3,3,1,3,1,2,3,3,2,1,3,1,2,1,good
33,1131,18,1,2,2,1,1,4,2,1,2,3,3,2,1,3,1,1,1,bad
20,1577,11,2,2,2,4,2,4,2,1,1,1,3,2,1,3,1,1,1,good
25,3972,24,4,2,2,1,4,2,2,1,4,2,3,1,1,3,1,2,1,good
31,1935,24,2,4,9,1,5,4,1,1,4,1,3,2,2,3,1,2,1,bad
33,950,15,1,0,0,1,5,4,3,1,3,3,3,1,2,3,2,1,1,bad
26,763,12,4,2,2,1,3,4,2,1,1,1,3,2,1,3,1,2,1,good
34,2064,24,2,3,2,1,1,3,2,1,2,2,3,2,1,4,1,2,1,bad
33,1414,8,2,2,3,1,3,4,3,3,2,1,3,2,1,3,1,1,2,good
26,3414,21,1,3,6,1,2,2,3,1,1,2,3,2,2,3,1,1,1,bad
53,7485,30,4,1,1,5,1,4,2,1,1,1,1,2,1,4,1,2,1,bad
42,2577,12,1,2,2,1,3,2,1,1,1,3,3,2,1,3,1,1,1,good
52,338,6,1,4,3,3,5,4,3,1,4,3,3,2,2,3,1,1,1,good
31,1963,12,4,2,3,1,4,4,3,1,2,3,3,1,2,4,2,2,1,good
65,571,21,1,4,0,1,5,4,3,1,4,1,3,2,2,3,1,1,1,good
28,9572,36,4,3,9,1,2,1,1,1,1,3,3,2,2,3,1,1,1,bad
30,4455,36,2,3,9,1,3,2,1,1,2,1,2,2,2,4,1,2,1,bad
40,1647,21,1,1,0,5,3,4,3,1,2,2,3,2,2,2,2,1,1,bad
50,3777,24,4,4,2,4,3,4,3,1,4,1,3,2,1,3,1,2,1,good
36,884,18,2,4,0,1,5,4,3,1,4,3,1,2,1,3,2,2,1,bad
31,1360,15,4,4,3,1,3,4,3,1,2,2,3,2,2,3,1,1,1,good
74,5129,9,2,1,1,1,5,2,2,1,4,4,1,3,1,4,2,2,1,bad
68,1175,16,2,4,0,1,1,2,3,1,3,3,3,3,3,1,1,2,1,good
20,674,12,1,2,3,2,4,4,4,1,1,2,3,2,1,3,1,1,1,bad
33,3244,18,2,0,2,1,3,1,2,1,4,3,1,2,2,3,1,2,1,good
54,4591,24,4,2,9,4,3,2,3,1,3,2,3,2,3,4,1,2,1,bad
34,3844,48,2,0,9,2,4,4,3,1,4,4,3,3,1,2,2,1,1,bad
36,3915,27,2,2,9,1,3,4,3,1,2,3,3,2,1,3,2,2,1,bad
29,2108,6,4,2,3,1,4,2,4,1,2,1,3,1,1,3,1,1,1,good
21,3031,45,2,2,3,2,3,4,3,3,4,2,3,1,1,3,1,1,1,bad
34,1501,9,2,4,6,1,5,2,2,1,3,3,3,2,2,4,1,2,1,bad
28,1382,6,4,4,3,1,3,1,2,1,1,3,3,2,2,3,1,2,1,good
27,951,12,2,2,2,2,2,4,2,1,4,3,1,1,4,3,1,1,1,bad
36,2760,24,2,2,1,5,5,4,3,1,4,4,1,3,1,3,1,2,1,good
40,4297,18,2,3,2,1,5,4,1,1,3,4,3,2,1,4,1,2,1,bad
52,936,9,4,4,6,3,5,4,3,1,2,3,3,2,2,3,1,2,1,good
27,1168,12,1,2,0,1,3,4,4,1,3,1,3,2,1,2,1,1,1,good
26,5117,27,4,3,9,1,4,3,3,1,4,3,3,2,2,3,1,1,1,good
21,902,12,1,2,8,1,4,4,4,1,4,2,3,1,1,3,1,1,1,bad
38,1495,12,4,4,0,1,5,4,3,1,1,1,3,2,2,2,2,1,1,good
38,10623,30,1,4,1,1,5,3,3,1,4,4,3,3,3,4,2,2,1,good
43,1935,12,4,4,2,1,5,4,3,1,4,1,3,2,3,3,1,2,1,good
26,1424,12,2,4,4,1,4,4,3,1,3,2,3,2,1,3,1,1,1,good
21,6568,24,1,2,9,1,3,2,4,1,2,3,2,2,1,2,1,1,1,good
55,1413,12,4,2,1,4,4,3,3,1,2,2,3,2,1,3,1,1,2,good
33,3074,9,4,4,3,5,3,1,3,1,2,1,3,2,2,3,2,1,1,good
45,3835,36,4,2,3,5,5,2,2,1,4,1,3,2,1,2,1,2,1,good
50,5293,27,1,0,9,1,1,2,3,1,4,2,2,2,2,3,1,2,1,bad
66,1908,30,3,3,9,1,5,4,3,1,4,1,3,2,1,4,1,2,1,bad
51,3342,36,4,4,3,5,5,4,3,1,2,3,3,2,1,3,1,2,1,good
39,932,6,2,4,8,5,4,1,2,1,3,2,3,2,2,2,1,1,1,good
31,3104,18,1,0,9,1,4,3,3,1,1,2,1,2,1,3,1,2,1,good
23,3913,36,3,2,3,1,3,2,3,1,2,1,3,2,1,3,1,2,1,good
24,3021,24,1,2,2,1,3,2,1,1,2,1,3,1,1,2,1,1,1,good
64,1364,10,4,2,0,1,3,2,2,1,4,3,3,2,1,3,1,2,1,good
26,625,12,2,2,3,1,2,4,4,3,1,1,1,2,1,2,1,1,1,good
23,1200,12,1,2,6,5,3,4,2,1,4,2,1,1,1,3,1,2,1,good
30,707,12,4,2,3,1,3,4,3,1,2,1,1,2,2,3,1,1,1,good
32,2978,24,4,3,9,5,3,4,3,1,4,1,3,2,2,3,2,2,1,good
30,4657,15,4,2,1,1,3,3,3,1,2,3,3,2,1,3,1,2,1,good
27,2613,36,4,0,5,1,3,4,3,1,2,3,3,2,2,3,1,1,1,good
27,10961,48,2,2,3,4,4,1,3,2,2,4,1,2,2,3,1,2,1,bad
53,7865,12,1,2,2,1,5,4,3,1,4,4,3,3,1,4,1,2,1,bad
22,1478,9,4,2,3,1,4,4,3,1,2,3,3,2,1,3,1,1,1,bad
22,3149,24,1,2,2,1,2,4,3,1,1,4,1,3,1,3,1,1,1,good
26,4210,36,3,2,3,1,3,4,3,1,2,3,3,2,1,3,1,1,1,bad
51,2507,9,4,2,0,3,5,2,3,1,4,4,3,3,1,2,1,1,1,good
35,2141,12,4,2,3,2,4,3,3,1,1,4,3,2,1,3,1,1,1,good
25,866,18,2,2,3,1,3,4,4,3,2,1,3,2,1,2,1,1,1,good
42,1544,4,4,4,3,1,4,2,3,1,1,1,3,2,3,2,2,1,1,good
30,1823,24,1,2,3,1,1,4,3,1,2,3,2,2,1,4,2,1,1,bad
23,14555,6,2,2,0,5,1,1,3,1,2,2,3,2,1,1,1,2,1,bad
61,2767,21,2,2,9,2,5,4,1,1,2,3,1,1,2,2,1,1,1,bad
35,1291,12,4,4,3,1,3,4,2,1,2,2,3,2,2,3,1,1,1,good
39,2522,30,1,2,3,1,5,1,3,3,3,2,3,2,1,3,2,1,1,good
29,915,24,1,2,0,5,5,4,2,1,2,3,1,2,1,3,1,1,1,bad
51,1595,6,4,2,3,1,4,3,3,1,2,2,3,2,1,3,2,1,1,good
24,4605,48,1,0,1,1,5,3,3,1,4,4,3,3,2,3,2,1,1,bad
27,1185,12,4,4,9,1,3,3,2,1,2,1,3,2,2,3,1,1,1,good
35,3447,12,4,1,8,3,3,4,2,1,3,1,3,2,1,2,2,1,1,good
25,1258,24,4,2,9,1,4,4,3,1,1,1,3,2,1,3,1,2,1,good
52,717,12,4,4,3,1,5,4,3,1,4,1,3,2,3,3,1,1,1,good
35,1204,6,4,0,0,2,3,4,3,1,1,4,1,1,1,3,1,1,2,good
26,1925,24,3,2,2,1,3,2,3,1,2,1,3,2,1,3,1,1,1,good
22,433,18,4,2,3,1,1,3,2,2,4,1,3,1,1,3,1,1,1,bad
39,666,6,1,4,0,4,4,3,2,1,4,1,3,2,2,2,1,2,1,good
46,2251,12,3,2,2,1,3,1,2,1,2,3,3,2,1,2,1,1,1,good
24,2150,30,2,2,0,1,3,4,2,3,2,4,1,2,1,3,1,1,1,bad
35,4151,24,4,3,2,2,3,2,3,1,3,2,3,2,2,3,1,1,1,good
24,2030,9,2,2,2,5,4,2,3,1,1,3,3,2,1,3,1,2,1,good
27,7418,60,2,3,3,5,3,1,3,1,1,1,3,2,1,2,1,1,1,good
35,2684,24,4,4,3,1,3,4,3,1,2,1,3,2,2,2,1,1,1,good
29,2149,12,1,1,3,1,3,4,1,1,1,4,3,3,1,3,1,1,1,bad
23,3812,15,4,2,1,2,2,1,2,1,4,3,3,2,1,3,1,2,1,good
57,1154,11,4,4,3,2,1,4,2,1,4,1,3,2,3,2,1,1,1,good
27,1657,12,1,2,2,1,3,2,3,1,2,1,3,2,1,3,1,1,1,good
55,1603,24,1,2,3,1,5,4,2,1,4,3,3,2,1,3,1,1,1,good
36,5302,18,1,4,0,1,5,2,3,1,4,4,3,3,3,4,1,2,1,good
57,2748,12,4,4,6,1,5,2,2,1,4,4,1,3,3,2,1,1,1,good
32,1231,10,4,4,0,1,5,3,3,1,4,1,3,2,2,2,2,1,2,good
37,802,15,2,2,3,1,5,4,3,1,3,3,3,2,1,3,2,1,1,bad
36,6304,36,4,4,9,5,5,4,3,1,4,1,3,2,2,3,1,1,1,good
38,1533,24,4,2,3,1,2,4,2,1,3,3,2,2,1,3,1,2,1,good
45,8978,14,1,2,0,1,5,1,1,1,4,2,3,2,1,4,1,2,2,bad
25,999,24,4,2,3,5,5,4,3,1,2,3,3,2,2,3,1,1,1,good
32,2662,18,4,2,0,5,4,4,3,1,3,2,3,2,1,3,1,1,2,good
37,1402,12,4,4,2,3,4,3,2,1,4,3,3,1,1,3,1,2,1,good
36,12169,48,2,1,0,5,1,4,3,2,4,4,3,3,1,4,1,2,1,good
28,3060,48,2,2,3,1,4,4,3,1,4,1,3,2,2,3,1,1,1,bad
34,11998,30,1,2,5,1,2,1,1,1,1,4,3,2,1,2,1,2,1,bad
32,2697,9,4,2,3,1,3,1,3,1,2,1,3,2,1,3,2,1,1,good
26,2404,18,4,4,3,1,3,2,2,1,2,3,3,2,2,3,1,1,1,good
49,1262,12,1,2,2,5,5,2,1,1,4,2,3,2,1,2,1,2,1,good
32,4611,6,4,2,2,1,2,1,2,1,4,2,3,2,1,3,1,1,1,bad
29,1901,24,4,2,3,2,3,4,3,1,4,3,3,1,1,4,1,2,1,good
23,3368,15,4,4,1,4,5,3,3,1,4,4,3,1,2,3,1,2,1,good
50,1574,12,4,2,2,1,3,4,3,1,2,1,3,2,1,3,1,1,1,good
49,1445,18,3,1,3,5,4,4,3,1,4,3,1,2,1,2,1,1,1,good
63,1520,15,4,4,2,5,5,4,3,1,4,2,3,2,1,3,1,1,1,good
37,3878,24,2,4,0,2,2,4,1,1,2,3,3,2,1,3,1,2,1,good
35,10722,47,1,2,0,1,2,1,2,1,1,1,3,2,1,2,1,2,1,good
26,4788,48,1,2,1,1,4,4,3,1,3,2,3,2,1,3,2,1,1,good
31,7582,48,2,3,X,2,1,2,3,1,4,4,3,3,1,4,1,2,1,good
49,1092,12,2,2,3,1,3,4,2,3,4,1,3,2,2,3,1,2,1,good
48,1024,24,1,3,3,1,2,4,4,1,4,1,2,2,1,3,1,1,1,bad
26,1076,12,4,2,9,1,3,2,4,1,2,1,3,2,1,3,1,2,2,good
28,9398,36,2,2,1,1,2,1,4,1,4,3,3,1,1,4,1,2,1,bad
44,6419,24,1,4,1,1,5,2,2,1,4,4,3,3,2,4,2,2,1,good
56,4796,42,3,4,1,1,5,4,3,1,4,4,3,3,1,3,1,1,1,good
46,7629,48,4,4,9,5,5,4,1,1,2,3,1,2,2,4,2,1,1,good
26,9960,48,2,2,2,1,2,1,2,1,2,3,3,2,1,3,1,2,1,bad
20,4675,12,4,2,1,5,2,1,2,1,4,3,3,1,1,3,1,1,1,good
45,1287,10,4,2,0,5,5,4,3,2,2,2,3,2,1,2,1,1,2,good
43,2515,18,4,2,2,1,3,3,3,1,4,1,3,2,1,3,1,2,1,good
32,2745,21,2,4,2,4,4,3,3,1,2,3,3,2,2,3,1,2,1,good
54,672,6,4,2,0,1,1,1,2,1,4,1,3,2,1,1,1,2,1,good
42,3804,36,2,0,3,1,3,4,2,1,1,3,3,2,1,3,1,2,1,bad
37,1344,24,3,4,0,5,4,4,3,1,2,1,1,2,2,2,2,1,1,bad
49,1038,10,1,4,0,1,4,4,3,2,3,2,3,2,2,3,1,2,1,good
44,10127,48,4,4,0,3,3,2,3,1,2,4,1,3,1,3,1,1,1,bad
33,1543,6,4,2,2,4,3,4,1,1,2,1,3,2,1,3,1,1,1,good
24,4811,30,4,2,1,5,4,2,2,1,4,2,2,1,1,2,1,1,1,good
33,727,12,1,2,3,2,2,4,4,1,3,4,3,2,1,2,1,2,1,bad
24,1237,8,2,2,2,1,3,3,2,1,4,1,3,2,1,3,1,1,1,bad
22,276,9,2,2,0,1,3,4,4,1,4,1,3,1,1,2,1,1,1,good
40,5381,48,2,2,X,5,1,3,3,1,4,4,1,3,1,1,1,2,1,good
25,5511,24,4,2,2,2,3,4,3,1,1,3,2,2,1,3,1,1,1,good
26,3749,24,3,2,2,1,2,2,2,1,4,3,3,2,1,3,1,1,1,good
25,685,12,2,2,0,1,4,2,4,1,3,3,1,2,1,2,1,1,1,bad
29,1494,4,3,2,0,5,2,1,3,1,2,1,3,2,1,2,2,1,2,good
31,2746,36,1,1,2,1,5,4,3,1,4,3,1,2,1,3,1,1,1,bad
38,708,12,1,2,2,1,3,2,3,3,3,2,3,2,1,2,2,1,1,good
48,4351,24,2,2,2,5,3,1,2,1,4,2,3,2,1,2,1,2,1,good
32,701,12,4,4,6,1,3,4,3,1,2,3,3,2,2,3,1,1,1,good
27,3643,15,1,3,2,1,5,1,2,1,4,2,3,2,2,2,1,1,1,good
28,4249,30,2,4,0,1,1,4,4,1,2,3,3,2,2,4,1,1,1,bad
